obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
ed98cb4f4e8f26f5,JP,index,建設工事費デフレーター（2020年度基準） 年度別,建設総合,建設総合,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!B11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
9841a45d9001fa13,JP,index,建設工事費デフレーター（2020年度基準） 年度別,建築総合,建設総合 > 建築総合,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!C11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
e1426e3c879784db,JP,index,建設工事費デフレーター（2020年度基準） 年度別,住宅総合,建設総合 > 建築総合 > 住宅総合,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!D11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
5527e685c6c0e039,JP,index,建設工事費デフレーター（2020年度基準） 年度別,木造住宅W,建設総合 > 建築総合 > 住宅総合 > 木造住宅W,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!E11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
e2ae91ac73c5354b,JP,index,建設工事費デフレーター（2020年度基準） 年度別,非木造住宅,建設総合 > 建築総合 > 住宅総合 > 非木造住宅,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!F11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
bec2f9dfe7ea72ac,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄骨鉄筋SRC,建設総合 > 建築総合 > 住宅総合 > 非木造住宅 > 鉄骨鉄筋SRC,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!G11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
306d8f8413be255c,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄筋RC,建設総合 > 建築総合 > 住宅総合 > 非木造住宅 > 鉄筋RC,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!H11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
78df8ce04bc5bc8a,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄骨S,建設総合 > 建築総合 > 住宅総合 > 非木造住宅 > 鉄骨S,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!I11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
fdd9516ae20d0535,JP,index,建設工事費デフレーター（2020年度基準） 年度別,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸその他CB,建設総合 > 建築総合 > 住宅総合 > 非木造住宅 > ｺﾝｸﾘｰﾄﾌﾞﾛｯｸその他CB,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!J11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
36b407ead35540ad,JP,index,建設工事費デフレーター（2020年度基準） 年度別,非住宅総合,建設総合 > 建築総合 > 非住宅総合,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!K11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
a9522a18c52023c4,JP,index,建設工事費デフレーター（2020年度基準） 年度別,木造非住宅W,建設総合 > 建築総合 > 非住宅総合 > 木造非住宅W,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!L11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
4d6d744246a27f3d,JP,index,建設工事費デフレーター（2020年度基準） 年度別,非木造非住宅,建設総合 > 建築総合 > 非住宅総合 > 非木造非住宅,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!M11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
3de7ac08172ef72a,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄骨鉄筋SRC,建設総合 > 建築総合 > 非住宅総合 > 非木造非住宅 > 鉄骨鉄筋SRC,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!N11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
e3b07a5bb3b34df6,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄筋RC,建設総合 > 建築総合 > 非住宅総合 > 非木造非住宅 > 鉄筋RC,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!O11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
ef58626ada90cfd6,JP,index,建設工事費デフレーター（2020年度基準） 年度別,鉄骨S,建設総合 > 建築総合 > 非住宅総合 > 非木造非住宅 > 鉄骨S,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!P11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
55ecc2425c2f68b9,JP,index,建設工事費デフレーター（2020年度基準） 年度別,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸその他CB,建設総合 > 建築総合 > 非住宅総合 > 非木造非住宅 > ｺﾝｸﾘｰﾄﾌﾞﾛｯｸその他CB,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!Q11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
60f37852db0f961a,JP,index,建設工事費デフレーター（2020年度基準） 年度別,建築補修,建設総合 > 建築補修,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!R11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
336f321298b7eb65,JP,index,建設工事費デフレーター（2020年度基準） 年度別,土木総合,建設総合 > 土木総合,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!S11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
96e09ec4ec57bfd6,JP,index,建設工事費デフレーター（2020年度基準） 年度別,公共事業,建設総合 > 土木総合 > 公共事業,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!T11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
e5b729cae158b273,JP,index,建設工事費デフレーター（2020年度基準） 年度別,土木1（含む災害復旧）,建設総合 > 土木総合 > 公共事業 > 土木1（含む災害復旧）,index (2020年度平均 = 100),national,JP,日本,,,,,,index_value,not_set,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!U11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」。原本は「***」
a53e086280e1a52e,JP,index,建設工事費デフレーター（2020年度基準） 年度別,土木1（除く災害復旧）,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧）,index (2020年度平均 = 100),national,JP,日本,,,,10.2,,index_value,published_pdl,,,FY1951,,mlit-deflator-nendo-260630,defnendo2020!V11,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「1951」
