obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
1d82c9deee67317a,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄筋コンクリート造,構造別 鉄筋コンクリート造,index (東京 = 100),pref_area,01,北海道,道北,,宗谷、上川、留萌（総合振興局又は振興局の所管区域を指す。以下同じ）,102,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
8a85dbd92f3f0699,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄骨鉄筋コンクリート造,構造別 鉄骨鉄筋コンクリート造,index (東京 = 100),pref_area,01,北海道,道北,,宗谷、上川、留萌（総合振興局又は振興局の所管区域を指す。以下同じ）,102,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
00c9698adf15a394,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄骨造,構造別 鉄骨造,index (東京 = 100),pref_area,01,北海道,道北,,宗谷、上川、留萌（総合振興局又は振興局の所管区域を指す。以下同じ）,103,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
1b97831e20b9f360,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 木造,構造別 木造,index (東京 = 100),pref_area,01,北海道,道北,,宗谷、上川、留萌（総合振興局又は振興局の所管区域を指す。以下同じ）,100,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
1366d5f5a2b29de3,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄筋コンクリート造,構造別 鉄筋コンクリート造,index (東京 = 100),pref,18,福井県,福井,,,94,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
57d968873a77a482,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄骨鉄筋コンクリート造,構造別 鉄骨鉄筋コンクリート造,index (東京 = 100),pref,18,福井県,福井,,,95,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
a598b2f3a9c9c5eb,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄骨造,構造別 鉄骨造,index (東京 = 100),pref,18,福井県,福井,,,96,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
17d5433ae8d4292e,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 木造,構造別 木造,index (東京 = 100),pref,18,福井県,福井,,,96,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
d2e67c7ef9bdbbd5,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄筋コンクリート造,構造別 鉄筋コンクリート造,index (東京 = 100),pref_area,01,北海道,道東,,オホーツク、根室、釧路、十勝,102,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
e470f579b43475df,JP,index,新営予算単価 第１ １ 一般地域別工事費指数,地域別工事費指数 鉄骨鉄筋コンクリート造,構造別 鉄骨鉄筋コンクリート造,index (東京 = 100),pref_area,01,北海道,道東,,オホーツク、根室、釧路、十勝,102,,index_value,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 3頁(印字 -1-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,各工事ごとに東京の工事費単価を100としたときの各地域別の工事費指数。各地域における材料価格、労務賃金その他の価格の相違に対して算定したもの。第２ 標準予算単価(東京)に掛けて使う
