obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
5a4a4b9df85aa828,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,計 計 受注件数,表側「計」/ 表頭「計」「受注件数」,件,national,JP,日本,,,,10967614,,count,published_pdl,34.4,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!C7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 10967614.208764205
bfe0f1e96541a530,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,計 計 受注高,表側「計」/ 表頭「計」「受注高」,億円,national,JP,日本,,,,164104,JPY,orders_received_total,published_pdl,18.7,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!E7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 164103.59119189094
5b3c25b5a2fffd99,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,住宅 計 受注件数,表側「計」/ 表頭「住宅」「受注件数」,件,national,JP,日本,,,,7474106,,count,published_pdl,31.4,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!G7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 7474106.454024511
104d318c58d2e38c,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,住宅 計 受注高,表側「計」/ 表頭「住宅」「受注高」,億円,national,JP,日本,,,,49033,JPY,orders_received_total,published_pdl,18.7,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!I7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 49032.571280346034
b87cb3253aa8166d,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,非住宅建築物 計 受注件数,表側「計」/ 表頭「非住宅建築物」「受注件数」,件,national,JP,日本,,,,3493508,,count,published_pdl,41.6,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!K7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 3493507.7547396882
8f3004010210451f,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,非住宅建築物 計 受注高,表側「計」/ 表頭「非住宅建築物」「受注高」,億円,national,JP,日本,,,,115071,JPY,orders_received_total,published_pdl,18.6,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!M7,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 115071.01991154533
c408c5b8f83c1e23,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,計 増築 受注件数,表側「増築」/ 表頭「計」「受注件数」,件,national,JP,日本,,,,11448,,count,published_pdl,-21.3,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!C8,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 11447.506012714999
0744cc1294cdf64a,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,計 増築 受注高,表側「増築」/ 表頭「計」「受注高」,億円,national,JP,日本,,,,4082,JPY,orders_received_total,published_pdl,-10.5,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!E8,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 4081.774787801978
ca2ac8413e4e1094,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,住宅 増築 受注件数,表側「増築」/ 表頭「住宅」「受注件数」,件,national,JP,日本,,,,4118,,count,published_pdl,-37.9,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!G8,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 4117.959129697001
5a07345658d48601,JP,spending,建築物リフォーム・リニューアル調査（令和７年度計） 表1-2 工事種類別 受注件数・受注高,住宅 増築 受注高,表側「増築」/ 表頭「住宅」「受注高」,億円,national,JP,日本,,,,338,JPY,orders_received_total,published_pdl,-39.0,前年度比(%)。原本の表示は小数第1位、▲は負,FY2025,,mlit-reform-fy2025,年表1-2!I8,https://www.mlit.go.jp/report/press/content/002005997.xlsx,PDL1.0,,令和７年度計(令和7年4月〜令和8年3月に元請として受注した工事)。原本セルの丸める前の値(推計値): 337.82246181543917
