obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
36f6db0c6cbc0817,US,labor,Davis-Bacon General Decision,SELF-PROPELLED HOPPER DREDGE DRAG TENDERS   THE FOLLOWING RATES WERE REVISED PURSUANT TO 29 CFR 1.6(C)(1) ON 02/07/2025,Rate identifier: SUAL1998-001 03/26/1998,USD/hour,state,01,Alabama,AL20260001 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",20.36,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260001-1,document line 43,https://sam.gov/wage-determination/AL20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
5e47b0621c1f9fbd,US,labor,Davis-Bacon General Decision,SELF-PROPELLED HOPPER DREDGE DRAG TENDERS   THE FOLLOWING RATES WERE REVISED PURSUANT TO 29 CFR 1.6(C)(1) ON 02/07/2025,Rate identifier: SUAL1998-001 03/26/1998,USD/hour,state,01,Alabama,AL20260001 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",7.24,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260001-1,document line 43,https://sam.gov/wage-determination/AL20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
c0d142a50994ac7a,US,labor,Davis-Bacon General Decision,THIRD ASSISTANT ENGINEER DREDGE (16' AND OVER),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 41,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
689fef172fc167a7,US,labor,Davis-Bacon General Decision,THIRD ASSISTANT ENGINEER DREDGE (16' AND OVER),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 41,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
f54b84ad012744e2,US,labor,Davis-Bacon General Decision,SECOND COOK (HYDRAULIC DREDGING),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 42,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
1694cdcd8a4b631b,US,labor,Davis-Bacon General Decision,SECOND COOK (HYDRAULIC DREDGING),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 42,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
300c5f29f617c169,US,labor,Davis-Bacon General Decision,SECOND ASSISTANT ENGINEER DREDGE (16' AND OVER),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 43,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
342c6a6829396ddf,US,labor,Davis-Bacon General Decision,SECOND ASSISTANT ENGINEER DREDGE (16' AND OVER),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 43,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
ba8c7383de8f9289,US,labor,Davis-Bacon General Decision,OPERATOR (MARSH BUGGY DRAGLINE),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 44,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
ae2a1c0a515fbdd3,US,labor,Davis-Bacon General Decision,OPERATOR (MARSH BUGGY DRAGLINE),Rate identifier: SUAL1990-006 02/15/1990,USD/hour,state,01,Alabama,AL20260002 Heavy,1,"Alabama Counties of Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, De Kalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Perry, Pickens, Pike, Randolph, Russell, Shelby, St Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox and Winston",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-al20260002-1,document line 44,https://sam.gov/wage-determination/AL20260002/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AL20260002 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
