obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
ac6bf09f5f806ae5,US,labor,Davis-Bacon General Decision,POWER EQUIPMENT OPERATOR: FORKLIFT,Rate identifier: ENGI0624-006 01/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,33.25,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 26,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Rates 列(基本賃金)。
652113aff3b15058,US,labor,Davis-Bacon General Decision,POWER EQUIPMENT OPERATOR: FORKLIFT,Rate identifier: ENGI0624-006 01/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,15,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 26,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Fringes 列(付加給付の時間あたり額)。
0e13f32ada77a975,US,labor,Davis-Bacon General Decision,POWER EQUIPMENT OPERATOR: CRANE,Rate identifier: ENGI0624-006 01/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,34.25,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 27,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Rates 列(基本賃金)。
5e4815a2d73ee495,US,labor,Davis-Bacon General Decision,POWER EQUIPMENT OPERATOR: CRANE,Rate identifier: ENGI0624-006 01/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,15,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 27,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Fringes 列(付加給付の時間あたり額)。
844ca1ecd42f468f,US,labor,Davis-Bacon General Decision,"IRONWORKER, STRUCTURAL",Rate identifier: IRON0321-010 08/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,28,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 32,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Rates 列(基本賃金)。
da6d3c639741afd5,US,labor,Davis-Bacon General Decision,"IRONWORKER, STRUCTURAL",Rate identifier: IRON0321-010 08/01/2024,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,21.21,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 32,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Fringes 列(付加給付の時間あたり額)。
9cfa5f32735ecc2f,US,labor,Davis-Bacon General Decision,PAINTER (SPRAY),Rate identifier: PAIN0424-008 07/01/2021,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,16.25,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 37,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Rates 列(基本賃金)。
c13b67f4ffc74dc2,US,labor,Davis-Bacon General Decision,PAINTER (SPRAY),Rate identifier: PAIN0424-008 07/01/2021,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,10.42,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 37,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Fringes 列(付加給付の時間あたり額)。
5ffdbfb0f306a324,US,labor,Davis-Bacon General Decision,PLUMBER,Rate identifier: PLUM0155-012 08/01/2025,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,34.41,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 42,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Rates 列(基本賃金)。
571a67c1341c4198,US,labor,Davis-Bacon General Decision,PLUMBER,Rate identifier: PLUM0155-012 08/01/2025,USD/hour,state,05,Arkansas,AR20260004 Building,1,Arkansas Counties of Drew,15.7,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ar20260004-1,document line 42,https://sam.gov/wage-determination/AR20260004/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 AR20260004 改訂 1(公表 05/18/2026、Building)。Fringes 列(付加給付の時間あたり額)。
