obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
d34bd6bee995df0a,US,labor,Davis-Bacon General Decision,TRUCK DRIVERS,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",6.3,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 35,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
d8f3cffb08e8c9c8,US,labor,Davis-Bacon General Decision,TRUCK DRIVERS,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 35,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)"
0400b7b88075b8a7,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: PAYLOADER,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",6.3,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 36,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
7e191c1d9302afc2,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: PAYLOADER,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 36,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)"
42246eb6118909a0,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: CRANE,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",6.3,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 37,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
66fd99e6abda2aae,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: CRANE,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 37,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)"
0992a053ecbec70a,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: BACKHOE,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",6.3,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 38,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
6fef5663d3efbe33,US,labor,Davis-Bacon General Decision,POWER EQUIMENT OPERATORS: BACKHOE,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 38,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)"
8b203b8c847d9578,US,labor,Davis-Bacon General Decision,PLUMBERS,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",6.3,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 39,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
830f153def315403,US,labor,Davis-Bacon General Decision,PLUMBERS,Rate identifier: SUAS2022-001 02/13/2019,USD/hour,state,60,American Samoa,"AS20260001 Building, Heavy, Highway and Residential",1,"American Samoa Counties of Eastern, Manu'a, Rose Island, Swains Island and Western",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-as20260001-1,document line 39,https://sam.gov/wage-determination/AS20260001/1,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 AS20260001 改訂 1(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)"
