obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
0356285df8a0db86,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKERS/INSULATOR   (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS, AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS)",Rate identifier: ASBE0005-002 07/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,56.32,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 33,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
7e5c640db80649cb,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKERS/INSULATOR   (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS, AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS)",Rate identifier: ASBE0005-002 07/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,26.52,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 33,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。"
b394dbf4bdeaa255,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN   (APPLICATION OF FIRESTOPPING MATERIALS FOR WALL OPENINGS AND PENETRATIONS IN WALLS, FLOORS, CEILINGS AND CURTAIN WALLS)",Rate identifier: ASBE0005-002 07/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,39.94,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 36,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
cbf3dff6636d94a7,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN   (APPLICATION OF FIRESTOPPING MATERIALS FOR WALL OPENINGS AND PENETRATIONS IN WALLS, FLOORS, CEILINGS AND CURTAIN WALLS)",Rate identifier: ASBE0005-002 07/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,20.65,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 36,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。"
5df36fe289078318,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKERS/INSULATOR   (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS, AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS)",Rate identifier: ASBE0005-002 09/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,56.32,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 44,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
c8b9629ec2985807,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKERS/INSULATOR   (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS, AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS)",Rate identifier: ASBE0005-002 09/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,26.52,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 44,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。"
969b9a956d851aca,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN   (APPLICATION OF FIRESTOPPING MATERIALS FOR WALL OPENINGS AND PENETRATIONS IN WALLS, FLOORS, CEILINGS AND CURTAIN WALLS)",Rate identifier: ASBE0005-002 09/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,39.94,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 47,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
d7da48628df10fad,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN   (APPLICATION OF FIRESTOPPING MATERIALS FOR WALL OPENINGS AND PENETRATIONS IN WALLS, FLOORS, CEILINGS AND CURTAIN WALLS)",Rate identifier: ASBE0005-002 09/01/2024,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,20.65,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 47,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。"
4f84d4da93567256,US,labor,Davis-Bacon General Decision,"ASBESTOS REMOVAL WORKER/HAZARDOUS MATERIAL HANDLER   (INCLUDES PREPARATION, WETTING, STRIPPING, REMOVAL, SCRAPPING, VACUUMING, BAGGING AND DISPOSING OF ALL INSULATION MATERIALS FROM  MECHANICAL SYSTEMS, WHETHER THEY CONTAIN ASBESTOS OR NOT)",Rate identifier: ASBE0005-004 07/04/2022,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,23.52,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 57,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Rates 列(基本賃金)。"
97190df3724ff7a9,US,labor,Davis-Bacon General Decision,"ASBESTOS REMOVAL WORKER/HAZARDOUS MATERIAL HANDLER   (INCLUDES PREPARATION, WETTING, STRIPPING, REMOVAL, SCRAPPING, VACUUMING, BAGGING AND DISPOSING OF ALL INSULATION MATERIALS FROM  MECHANICAL SYSTEMS, WHETHER THEY CONTAIN ASBESTOS OR NOT)",Rate identifier: ASBE0005-004 07/04/2022,USD/hour,state,06,California,"CA20260001 Building, Heavy, Highway and Residential",3,California Counties of San Diego,13.37,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ca20260001-3,document line 57,https://sam.gov/wage-determination/CA20260001/3,US-PD-17USC105,,"Davis-Bacon 一般賃金決定 CA20260001 改訂 3(公表 05/18/2026、Building, Heavy, Highway and Residential)。Fringes 列(付加給付の時間あたり額)。"
