obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
c6450512b9f0952d,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKER/HEAT AND FROST INSULATOR (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS.) (PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KIND DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY, THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY).",Rate identifier: ASBE0024-001 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",40.77,USD,prevailing_wage_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 38,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Rates 列(基本賃金)。
6e2842415e862eae,US,labor,Davis-Bacon General Decision,"ASBESTOS WORKER/HEAT AND FROST INSULATOR (INCLUDES THE APPLICATION OF ALL INSULATING MATERIALS, PROTECTIVE COVERINGS, COATINGS AND FINISHES TO ALL TYPES OF MECHANICAL SYSTEMS.) (PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KIND DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY, THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY).",Rate identifier: ASBE0024-001 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",20.17,USD,prevailing_fringe_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 38,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Fringes 列(付加給付の時間あたり額)。
d255e2b584802eb2,US,labor,Davis-Bacon General Decision,"HAZARDOUS MATERIAL HANDLER  (INCLUDES PREPARATION, WETTING, STRIPPING, REMOVAL, SCRAPPING, VACUUMING, BAGGING AND DISPOSING OF ALL INSULATION MATERIALS, WHETHER THEY CONTAIN ASBESTOS OR NOT, FROM MECHANICAL SYSTEMS.)  (A. PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KING DAY,  MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY,THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY.)",Rate identifier: ASBE0024-002 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",24.46,USD,prevailing_wage_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 53,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Rates 列(基本賃金)。
a03864c6170aa32e,US,labor,Davis-Bacon General Decision,"HAZARDOUS MATERIAL HANDLER  (INCLUDES PREPARATION, WETTING, STRIPPING, REMOVAL, SCRAPPING, VACUUMING, BAGGING AND DISPOSING OF ALL INSULATION MATERIALS, WHETHER THEY CONTAIN ASBESTOS OR NOT, FROM MECHANICAL SYSTEMS.)  (A. PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KING DAY,  MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY,THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY.)",Rate identifier: ASBE0024-002 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",10.19,USD,prevailing_fringe_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 53,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Fringes 列(付加給付の時間あたり額)。
0ebbbef355db1014,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN  (INCLUDES THE APPLICATION OF MATERIALS OR DEVICES WITHIN OR AROUND PENETRATIONS AND OPENINGS IN ALL RATED WALL OR FLOOR ASSEMBLIES, IN ORDER TO PREVENT THE PASAGE OF FIRE, SMOKE OF OTHER GASES. THE APPLICATION INCLUDES ALL COMPONENTS INVOLVED IN CREATING THE RATED BARRIER AT PERIMETER SLAB EDGES AND EXTERIOR CAVITIES, THE HEAD OF GYPSUM BOARD OR CONCRETE WALLS, JOINTS BETWEEN RATED WALL OR FLOOR COMPONENTS, SEALING OF PENETRATING ITEMS AND BLANK OPENINGS) (A. PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KING DAY,  MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY,THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY.)",Rate identifier: ASBE0024-005 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",30.21,USD,prevailing_wage_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 73,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Rates 列(基本賃金)。
9cce1c556ca95fc2,US,labor,Davis-Bacon General Decision,"FIRE STOP TECHNICIAN  (INCLUDES THE APPLICATION OF MATERIALS OR DEVICES WITHIN OR AROUND PENETRATIONS AND OPENINGS IN ALL RATED WALL OR FLOOR ASSEMBLIES, IN ORDER TO PREVENT THE PASAGE OF FIRE, SMOKE OF OTHER GASES. THE APPLICATION INCLUDES ALL COMPONENTS INVOLVED IN CREATING THE RATED BARRIER AT PERIMETER SLAB EDGES AND EXTERIOR CAVITIES, THE HEAD OF GYPSUM BOARD OR CONCRETE WALLS, JOINTS BETWEEN RATED WALL OR FLOOR COMPONENTS, SEALING OF PENETRATING ITEMS AND BLANK OPENINGS) (A. PAID HOLIDAYS: NEW YEAR'S DAY, MARTIN LUTHER KING DAY,  MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, VETERANS' DAY, THANKSGIVING DAY,THE DAY AFTER THANKSGIVING AND CHRISTMAS DAY PROVIDED THE EMPLOYEE WORKS THE REGULAR WORK DAY BEFORE AND AFTER THE PAID HOLIDAY.)",Rate identifier: ASBE0024-005 10/01/2024,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",10.43,USD,prevailing_fringe_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 73,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Fringes 列(付加給付の時間あたり額)。
8f149f0e97a2b5ff,US,labor,Davis-Bacon General Decision,BOILERMAKERS,Rate identifier: BOIL0193-001 01/01/2025,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",47.37,USD,prevailing_wage_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 78,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Rates 列(基本賃金)。
b068770b3884f48d,US,labor,Davis-Bacon General Decision,BOILERMAKERS,Rate identifier: BOIL0193-001 01/01/2025,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",25.6,USD,prevailing_fringe_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 78,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Fringes 列(付加給付の時間あたり額)。
4640690f393a7803,US,labor,Davis-Bacon General Decision,BRICKLAYER,Rate identifier: BRDC0001-001 04/27/2025,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",38.8,USD,prevailing_wage_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 83,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Rates 列(基本賃金)。
a2ce7cf94256b33a,US,labor,Davis-Bacon General Decision,BRICKLAYER,Rate identifier: BRDC0001-001 04/27/2025,USD/hour,state,11,District of Columbia,DC20260001 Heavy and Highway,6,"District of Columbia Counties of Washington, D.C.",15.17,USD,prevailing_fringe_hourly,public_domain,,,2026-08-27,,dol-dbra-dc20260001-6,document line 83,https://sam.gov/wage-determination/DC20260001/6,US-PD-17USC105,,Davis-Bacon 一般賃金決定 DC20260001 改訂 6(公表 08/27/2026、Heavy and Highway)。Fringes 列(付加給付の時間あたり額)。
