obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
5ac8d160adcd605d,US,labor,Davis-Bacon General Decision,"DREDGING :CLASS C1: MATE, DRAG BARGE OPERATOR, WELDER, ASSISTANT FILL PLACER, STEWARD.    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",38.38,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 66,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
11a7801c3b2d58b2,US,labor,Davis-Bacon General Decision,"DREDGING :CLASS C1: MATE, DRAG BARGE OPERATOR, WELDER, ASSISTANT FILL PLACER, STEWARD.    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",14.66,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 66,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
1751e334429b678b,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS D: SHOREMAN, DECKHAND, RODMAN, SCOWMAN, COOK, MESSMAN, OILER, JANITOR, DRILL OILER    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",30.85,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 90,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
527fab1f7fa9d10b,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS D: SHOREMAN, DECKHAND, RODMAN, SCOWMAN, COOK, MESSMAN, OILER, JANITOR, DRILL OILER    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",14.15,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 90,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
a849d314e5a23be7,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS C2: BOAT OPERATOR/LAUNCHMAN    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",37.15,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 113,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
421b56721c47c7d4,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS C2: BOAT OPERATOR/LAUNCHMAN    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",14.57,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 113,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
c2cdae50485ecf93,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS B2: CERTIFIED WELDER.    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",39.46,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 136,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
293885d0e5d3e42a,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS B2: CERTIFIED WELDER.    PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",14.73,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 136,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
b07e6f7a01f5ab5a,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS B1:  DERRICK OPERATOR (180 SWING), SPIDER/SPILL BARGE OPERATOR, TIMBER FORK OPERATOR, DOZER OPERATOR, ENGINEER, BLASTER/DRILLER, FILL PLACER, ELECTRICIAN, LICENSED BOAT OPERATOR, LICENSED CREW BOAT OPERATOR.      PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",41.93,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 163,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
2fd93780a1668cfe,US,labor,Davis-Bacon General Decision,"DREDGING : CLASS B1:  DERRICK OPERATOR (180 SWING), SPIDER/SPILL BARGE OPERATOR, TIMBER FORK OPERATOR, DOZER OPERATOR, ENGINEER, BLASTER/DRILLER, FILL PLACER, ELECTRICIAN, LICENSED BOAT OPERATOR, LICENSED CREW BOAT OPERATOR.      PREMIUMS: ADDITIONAL 20% FOR HAZARDOUS MATERIAL WORK  FOOTNOTE APPLICABLE TO ABOVE CRAFTS:     A. NEW YEAR'S DAY, GOOD FRIDAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY AND  CHRISTMAS DAY.  VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME RATE MULTIPLIED BY THE TOTAL HOURS WORKED.       B. NEW YEAR'S DAY, MEMORIAL DAY, INDEPENDENCE DAY, LABOR DAY, THANKSGIVING DAY, CHRISTMAS DAY. PLUS VACATION CONTRIBUTION OF 8% OF STRAIGHT TIME PAY FOR ALL HOURS WORKED.   INCENTIVE PAY : (ADD TO HOURLY RATE)  OPERATOR (NCCCO LICENSE/CERTIFICATION) $1.80; LICENSED TUG OPERATOR OVER 1000 HP (ASSIGNED AS MASTER) USCG LICENSED MASTER OF TOWING VESSELS (MOTV) $1.80; LICENSED BOAT OPERATOR (ASSIGNED AS LEAD BOAT CAPTAIN) USCG LICENSED BOAT OPERATOR $1.30; ENGINEER (QMED AND TANKERMAN ENDORSEMENT OR LICENSED ENGINEER (USCG) $1.80; OILER QMED AND TANKERMAN ENDORSEMENT (USCG) $1.80; ALL CLASSIFICATIONS TANKERMAN ENDORSEMENT ONLY (USCG) $1.55; DECKHAND OR MATER AB W/LIFEBOATMAN ONLY (USCG) $1.80; WELDER (ABS CERTIFICATION) $1.55",Rate identifier: ENGI0025-005 10/01/2025,USD/hour,state,12,Florida,FL20260002 Heavy,2,"Florida Counties of Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St Johns, St Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington and Miami-Dade",14.9,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-fl20260002-2,document line 163,https://sam.gov/wage-determination/FL20260002/2,US-PD-17USC105,,Davis-Bacon 一般賃金決定 FL20260002 改訂 2(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。
