obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
4443d1698366c3a4,US,labor,Davis-Bacon General Decision,TRUCK DRIVER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",7.25,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 28,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Rates 列(基本賃金)。
4cfd90d0deeffa85,US,labor,Davis-Bacon General Decision,TRUCK DRIVER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 28,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
dad1e15541a1e7d5,US,labor,Davis-Bacon General Decision,SHEET METAL WORKER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",8,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 29,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Rates 列(基本賃金)。
d2ddcb2667268918,US,labor,Davis-Bacon General Decision,SHEET METAL WORKER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",0.34,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 29,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Fringes 列(付加給付の時間あたり額)。
585df6dbddba6ee5,US,labor,Davis-Bacon General Decision,ROOFER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",8,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 30,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Rates 列(基本賃金)。
8ab145456709dc4f,US,labor,Davis-Bacon General Decision,ROOFER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 30,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
63f5da0b0c744d29,US,labor,Davis-Bacon General Decision,PLUMBER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",10.82,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 31,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Rates 列(基本賃金)。
ed70371786f2e9fb,US,labor,Davis-Bacon General Decision,PLUMBER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 31,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
d03bebabfd215370,US,labor,Davis-Bacon General Decision,PLASTERER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",9,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 32,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Rates 列(基本賃金)。
845fda28fa7c9146,US,labor,Davis-Bacon General Decision,PLASTERER,Rate identifier: SUID1983-001 11/01/1983,USD/hour,state,16,Idaho,ID20260001 Residential,1,"Idaho Counties of Ada, Boise, Canyon, Elmore, Gem, Owyhee, Payette and Washington",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-id20260001-1,document line 32,https://sam.gov/wage-determination/ID20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 ID20260001 改訂 1(公表 05/18/2026、Residential)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
