obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
3f8036c35498bfab,US,labor,Davis-Bacon General Decision,"WELDER (DREDGE UNDER 16"")",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 45,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
96ccd15d1e06cd20,US,labor,Davis-Bacon General Decision,"WELDER (DREDGE UNDER 16"")",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 45,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
7d7fd844679174ac,US,labor,Davis-Bacon General Decision,"WELDER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 46,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
0f112a84a807293c,US,labor,Davis-Bacon General Decision,"WELDER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 46,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
54786459a07ee085,US,labor,Davis-Bacon General Decision,"TRUCK DRIVER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 47,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
6c8e95b7192dd62b,US,labor,Davis-Bacon General Decision,"TRUCK DRIVER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 47,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
3421a362b5beadaa,US,labor,Davis-Bacon General Decision,"THIRD ASSISTANT ENGINEER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 48,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
dc0bb2046dd2e92e,US,labor,Davis-Bacon General Decision,"THIRD ASSISTANT ENGINEER (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 48,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
85a8d4ab100ecb60,US,labor,Davis-Bacon General Decision,"SHOREMAN (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",19.67,USD,prevailing_wage_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 49,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Rates 列(基本賃金)。
f1eec7d8f2d00c6a,US,labor,Davis-Bacon General Decision,"SHOREMAN (DREDGE 16"" AND OVER)",Rate identifier: SUMS1990-015 02/15/1990,USD/hour,state,28,Mississippi,MS20260001 Heavy,1,"Mississippi Counties of Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, De Soto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha and Yazoo",0,USD,prevailing_fringe_hourly,public_domain,,,2026-05-18,,dol-dbra-ms20260001-1,document line 49,https://sam.gov/wage-determination/MS20260001/1,US-PD-17USC105,,Davis-Bacon 一般賃金決定 MS20260001 改訂 1(公表 05/18/2026、Heavy)。Fringes 列(付加給付の時間あたり額)。 / 原本の値 0(該当なし・定めなし = 0)
