obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
2c61056d1130746f,US,spending,Construction Spending (Value of Construction Put in Place),Amusement and Recreation,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,1328,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=08XX, dt_code=T"
361c34c9772a7453,US,spending,Construction Spending (Value of Construction Put in Place),Commercial,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,4887,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=03XX, dt_code=T"
6a68439372b530ff,US,spending,Construction Spending (Value of Construction Put in Place),Communication,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,1416,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=10XX, dt_code=T"
b67f8a384344a70a,US,spending,Construction Spending (Value of Construction Put in Place),Conservation and Development,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,271,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=15XX, dt_code=T"
eb0f34e11081b2b6,US,spending,Construction Spending (Value of Construction Put in Place),Educational,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,5125,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=05XX, dt_code=T"
39dc9930cc37a908,US,spending,Construction Spending (Value of Construction Put in Place),Health Care,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,2013,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=04XX, dt_code=T"
23e0974cce2e3b59,US,spending,Construction Spending (Value of Construction Put in Place),Highway and Street,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,3180,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=12XX, dt_code=T"
311cd6556239733a,US,spending,Construction Spending (Value of Construction Put in Place),Lodging,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,989,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=01XX, dt_code=T"
c229c0173ef64446,US,spending,Construction Spending (Value of Construction Put in Place),Manufacturing,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,2134,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=20IX, dt_code=T"
6848e799147cfd83,US,spending,Construction Spending (Value of Construction Put in Place),Nonresidential,"Total Construction, Not Seasonally Adjusted",MLN$ (monthly),national,US,United States,U.S. Total,,,33545,USD,spending_million_usd_nsa,public_domain,,,2002-01,,census-vip-eits,VIP-mf.csv,https://www.census.gov/econ_getzippedfile/?programCode=VIP,US-PD-17USC105,,"Census 公表 2026-09-01 時点の値(以後の月次・年次改訂で変わる)。cat_code=NRXX, dt_code=T"
