obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
1dda4c990be88ce9,US,spending,Addition,Addition | (all permit_class),work_class=Addition; permit_class=(all); permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,permits,city,48,Austin,,,,22,,count,published_open_terms,16,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値(区分ごとの件数を足した値)。Issued Construction Permits の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 6 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
0eddcca0944e00dc,US,spending,Addition,Addition | (all permit_class),work_class=Addition; permit_class=(all); permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD,city,48,Austin,,,,513665,USD,permit_valuation_total_usd,published_open_terms,16,合計に入れた件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。16 件の申告工事額(total_job_valuation)の合計。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 6 件、10 億ドル以上 0 件。合計は外れ値に弱い。合計に入れた最大の申告額は 200000 ドル(1 件、合計の 38.94%)。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
51bfe059de932735,US,spending,Addition,Addition | (all permit_class),work_class=Addition; permit_class=(all); permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD per permit,city,48,Austin,,,,14600,USD,permit_valuation_median_usd,published_open_terms,16,計算に使った件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。16 件の申告工事額(total_job_valuation)の中央値(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 6 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
f39c6a28eddee534,US,spending,Addition,Addition | (all permit_class),work_class=Addition; permit_class=(all); permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD per permit,city,48,Austin,,,,5750,USD,permit_valuation_p25_usd,published_open_terms,16,計算に使った件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。16 件の申告工事額(total_job_valuation)の25 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 6 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
2b87c257c5eb6829,US,spending,Addition,Addition | (all permit_class),work_class=Addition; permit_class=(all); permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD per permit,city,48,Austin,,,,33963.75,USD,permit_valuation_p75_usd,published_open_terms,16,計算に使った件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。16 件の申告工事額(total_job_valuation)の75 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 6 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
2cb57ca6e1f4070b,US,spending,Addition,"Addition | C- 437 Addn, Alter, Convn-NonRes","work_class=Addition; permit_class=C- 437 Addn, Alter, Convn-NonRes; permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年",permits,city,48,Austin,,,,5,,count,published_open_terms,1,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値(区分ごとの件数を足した値)。Issued Construction Permits の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 4 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
5dad8b8701000dd0,US,spending,Addition,"Addition | C- 437 Addn, Alter, Convn-NonRes","work_class=Addition; permit_class=C- 437 Addn, Alter, Convn-NonRes; permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年",USD,city,48,Austin,,,,200000,USD,permit_valuation_total_usd,published_open_terms,1,合計に入れた件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。1 件の申告工事額(total_job_valuation)の合計。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 4 件、10 億ドル以上 0 件。合計は外れ値に弱い。合計に入れた最大の申告額は 200000 ドル(1 件、合計の 100%)。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
a0a23d5fafc622c7,US,spending,Addition,Addition | R- 434 Addition & Alterations,work_class=Addition; permit_class=R- 434 Addition & Alterations; permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,permits,city,48,Austin,,,,17,,count,published_open_terms,15,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値(区分ごとの件数を足した値)。Issued Construction Permits の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 2 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
9644f3dfb666c17f,US,spending,Addition,Addition | R- 434 Addition & Alterations,work_class=Addition; permit_class=R- 434 Addition & Alterations; permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD,city,48,Austin,,,,313665,USD,permit_valuation_total_usd,published_open_terms,15,合計に入れた件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。15 件の申告工事額(total_job_valuation)の合計。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 2 件、10 億ドル以上 0 件。合計は外れ値に弱い。合計に入れた最大の申告額は 75000 ドル(1 件、合計の 23.91%)。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
ac33d61b1bb10b1c,US,spending,Addition,Addition | R- 434 Addition & Alterations,work_class=Addition; permit_class=R- 434 Addition & Alterations; permittype = 'BP'(Building Permit)、jurisdiction = 'AUSTIN FULL PURPOSE'、issue_date の年,USD per permit,city,48,Austin,,,,9700,USD,permit_valuation_median_usd,published_open_terms,15,計算に使った件数,2023,,city-austin-permits-3syk-w9eu,raw/city-austin-permits-3syk-w9eu.hist.2023.json(SoQL の group 集計の応答),https://data.austintexas.gov/d/3syk-w9eu,OPEN-TERMS,,"原本に無い値。15 件の申告工事額(total_job_valuation)の中央値(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 2 件、10 億ドル以上 0 件。Census place GEOID 4805000。Austin は Building Permit(permittype BP)のうち jurisdiction が AUSTIN FULL PURPOSE のものだけ(ETJ や周辺の市を除く)。Total Job Valuation は許可ごとの工事全体(建築・電気・機械・配管を含む)の申告額。C-1000 Commercial Remodel などは Total Job Valuation が空の許可が多い。New / R- 101 Single Family Houses は Total Job Valuation が 0 か 1 の許可が大半(2023: 1,311 件中 784 件、2024: 1,285 件中 1,118 件、2025: 1,319 件中 1,305 件)で、有効な件数が少ない年の中央値は代表性が低い。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない"
