obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
25160f7c625a5a6b,US,work,FTA Standard Cost Categories (SCC) 10 Guideway & Track Elements,Guideway & Track Elements,SCC 10,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,142,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 2,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $6,577,439(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
dbbba0043f2686c2,US,work,FTA Standard Cost Categories (SCC) 10 Guideway & Track Elements,Guideway: At-grade semi-exclusive (allows cross-tr,SCC 10.02,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,142,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 4,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $6,577,439(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
2322109ef6eb6a75,US,work,"FTA Standard Cost Categories (SCC) 20 Stations, Stops, Terminals, Intermodels","Stations, Stops, Terminals, Intermodels",SCC 20,Stations,national,US,United States,Albuquerque Central Avenue Ride BRT,,,459033,USD,asbuilt_unit_cost_midpoint,public_domain,19,Quantity (Stations),2018,,fta-capcost-2024-09,CSV row 34,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $8,721,635(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
f7e95b02f7c7b29d,US,work,"FTA Standard Cost Categories (SCC) 20 Stations, Stops, Terminals, Intermodels","At-Grade Station, Stop, Shelter, Mall, Terminal, P",SCC 20.01,Stations,national,US,United States,Albuquerque Central Avenue Ride BRT,,,459033,USD,asbuilt_unit_cost_midpoint,public_domain,19,Quantity (Stations),2018,,fta-capcost-2024-09,CSV row 35,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $8,721,635(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
bdea6c4da80e87c3,US,work,"FTA Standard Cost Categories (SCC) 30 Support Facilities: Yards, Shops, Admin. Bldgs","Support Facilities: Yards, Shops, Admin. Bldgs",SCC 30,Vehicles,national,US,United States,Albuquerque Central Avenue Ride BRT,,,138646,USD,asbuilt_unit_cost_midpoint,public_domain,18,Quantity (Vehicles),2018,,fta-capcost-2024-09,CSV row 56,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $2,495,622(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
6b46f9c3d24d73ce,US,work,"FTA Standard Cost Categories (SCC) 30 Support Facilities: Yards, Shops, Admin. Bldgs",Light Maintenance Facility,SCC 30.02,Vehicles,national,US,United States,Albuquerque Central Avenue Ride BRT,,,138646,USD,asbuilt_unit_cost_midpoint,public_domain,18,Quantity (Vehicles),2018,,fta-capcost-2024-09,CSV row 62,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $2,495,622(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
aaedb2254f451aca,US,work,FTA Standard Cost Categories (SCC) 40 Sitework & Special Conditions,Sitework & Special Conditions,SCC 40,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,1328,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 66,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $61,356,593(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
9ba60929fe953ef2,US,work,FTA Standard Cost Categories (SCC) 40 Sitework & Special Conditions,"Demolition, Clearing, Earthwork",SCC 40.01,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,82,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 67,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $3,782,284(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
ce0b87045b84ae23,US,work,FTA Standard Cost Categories (SCC) 40 Sitework & Special Conditions,"Site Utilities, Utility Relocation",SCC 40.02,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,209,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 68,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $9,637,409(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
441d012386d42682,US,work,FTA Standard Cost Categories (SCC) 40 Sitework & Special Conditions,Urban Replacement Betterment Public Utilities,SCC 40.023,LF Guideway,national,US,United States,Albuquerque Central Avenue Ride BRT,,,209,USD,asbuilt_unit_cost_midpoint,public_domain,46200,Quantity (LF Guideway),2018,,fta-capcost-2024-09,CSV row 71,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/FTA-Cost-Database-September-2024.csv,US-PD-17USC105,,"Mode: Bus Rapid Transit。Grade: At-Grade。ProjectType: New Line。Cost at Mid-Point of Construction: $9,637,409(原本)。竣工した連邦補助の交通プロジェクトの出来形原価。工事期間の中間年の名目ドル、地域補正なし"
