obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
2dd0a5a5f530472a,JP,index,建設工事費デフレーター（2020年度基準） 年度別,地方道路公社等,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 道路総合 > 有料道路 > 地方道路公社等,index (2020年度平均 = 100),national,JP,日本,,,,102.5,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AR81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
22d48f1caf7b2604,JP,index,建設工事費デフレーター（2020年度基準） 年度別,道路2（再掲）,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 道路2（再掲）,index (2020年度平均 = 100),national,JP,日本,,,,104,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AS81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
333900c447d2831b,JP,index,建設工事費デフレーター（2020年度基準） 年度別,街路2（再掲）,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 街路2（再掲）,index (2020年度平均 = 100),national,JP,日本,,,,103.8,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AT81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
6d889b5ffe9761e0,JP,index,建設工事費デフレーター（2020年度基準） 年度別,公園,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 公園,index (2020年度平均 = 100),national,JP,日本,,,,103.2,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AU81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
70fa59997ed08610,JP,index,建設工事費デフレーター（2020年度基準） 年度別,下水道,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 下水道,index (2020年度平均 = 100),national,JP,日本,,,,103.1,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AV81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
aa3aabb0d4969095,JP,index,建設工事費デフレーター（2020年度基準） 年度別,災害復旧,建設総合 > 土木総合 > 公共事業 > 土木1（除く災害復旧） > 災害復旧,index (2020年度平均 = 100),national,JP,日本,,,,103,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AW81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
bed1f917ef0b7a78,JP,index,建設工事費デフレーター（2020年度基準） 年度別,土木2,建設総合 > 土木総合 > 公共事業 > 土木2,index (2020年度平均 = 100),national,JP,日本,,,,102.8,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AX81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
08adf5912e530969,JP,index,建設工事費デフレーター（2020年度基準） 年度別,港湾・漁港,建設総合 > 土木総合 > 公共事業 > 土木2 > 港湾・漁港,index (2020年度平均 = 100),national,JP,日本,,,,103.6,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AY81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
6677d1676ef8a560,JP,index,建設工事費デフレーター（2020年度基準） 年度別,空港,建設総合 > 土木総合 > 公共事業 > 土木2 > 空港,index (2020年度平均 = 100),national,JP,日本,,,,103.5,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!AZ81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
696532bca71ca511,JP,index,建設工事費デフレーター（2020年度基準） 年度別,環境衛生,建設総合 > 土木総合 > 公共事業 > 土木2 > 環境衛生,index (2020年度平均 = 100),national,JP,日本,,,,102.4,,index_value,published_pdl,,,FY2021,,mlit-deflator-nendo-260630,defnendo2020!BA81,https://www.mlit.go.jp/statistics/details/content/defnendo_260630.xlsx,PDL1.0,,2020年度基準(2020年度平均=100)。2026年4月分の公表から2020年度基準に改定(原本注)。ウエイト項目に営業余剰や間接税(消費税を含む)等を含めない(原本注)。原本の年度表示「2021年度」。注意(W2 の照合): 2021年度以降の年度別ファイルの「地方道路公社等」から「S事務所・その他」までの33列は、月別シートの同じ系列の年度平均と合わず、左隣の系列の年度平均と合う。年度別の値が1列右にずれている疑い。値は原本のまま
