category,item_name,spec,unit,area_label,area_code,price_2026_09,price_2026_10,change,change_pct,obs_id_2026_09,obs_id_2026_10,page_09,page_10
骨材,コンクリート用骨材 砕石,１５～５ｍｍ,m3,福井 池田町他,11,4650,5150,500,10.75,1870c3c1371c458e,cb7a9ac025f28281,38,38
骨材,コンクリート用骨材 砕砂,,m3,福井 池田町他,11,5000,5500,500,10.0,a8f4ff995a9ac554,1fe1a8afdb93b519,38,38
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,福井 大野市 / 旧和泉村,12,6800,7300,500,7.35,ee375304746022ed,ec6e73825fd05467,38,38
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,福井 大野市 / 旧和泉村,12,6800,7300,500,7.35,b465d306603460e2,44d2d2c064860902,38,38
骨材,コンクリート用骨材 砂,洗い 荒目,m3,福井 大野市 / 旧和泉村,12,8300,8800,500,6.02,2f716bc4edb1114d,f87e5d90a1fef097,38,38
骨材,コンクリート用骨材 砂,洗い 細目,m3,福井 大野市 / 旧和泉村,12,7300,7800,500,6.85,dc226fbb27197683,59132bc6aaca022f,38,38
骨材,コンクリート用骨材 砕石,２０～５ｍｍ,m3,福井 大野市 / 旧和泉村,12,6800,7300,500,7.35,57063fbfaa5ec377,78e5e7372fa2c393,38,38
骨材,コンクリート用骨材 砕石,１５～５ｍｍ,m3,福井 冠山峠地区,13,6750,7250,500,7.41,ad0aaec594bd48fb,62b12989942f4d4c,38,38
骨材,コンクリート用骨材 砕砂,,m3,福井 冠山峠地区,13,7100,7600,500,7.04,407ca7f8d2d257b7,e8bcb7c293aa7619,38,38
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,奈良 竹筒,68,8500,11300,2800,32.94,60d5691d37e0e8b1,e4df04d8ffc03a4b,42,42
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,奈良 竹筒,68,8500,11300,2800,32.94,8035577ef2a1c38b,73ec0a81c1455953,42,42
骨材,コンクリート用骨材 砂,洗い 荒目,m3,奈良 竹筒,68,8800,11600,2800,31.82,8212dbf505f04755,333b1d8a783dbc9d,42,42
骨材,コンクリート用骨材 砂,洗い 細目,m3,奈良 竹筒,68,8800,,,,207a098d1b6e47bd,be7afd7004734580,42,42
骨材,クラッシャーラン,Ｃ－３０,m3,奈良 竹筒,68,5500,6500,1000,18.18,17ea182e3d31b584,10af43ab41b526d0,42,42
骨材,クラッシャーラン,Ｃ－４０,m3,奈良 竹筒,68,5500,6500,1000,18.18,a3eb8630b44f5a25,35aa58b0e3f80af2,42,42
骨材,粒度調整砕石,Ｍ－３０,m3,奈良 竹筒,68,5700,6700,1000,17.54,5f12a8852a5dcc45,268c824826056aa8,42,42
骨材,粒度調整砕石,Ｍ－４０,m3,奈良 竹筒,68,5700,6700,1000,17.54,cb518811c084b5a6,3c7b22ef38c18f8a,42,42
骨材,単粒度砕石,４号３０－２０ｍｍ,m3,奈良 竹筒,68,5700,6700,1000,17.54,1675ba0d7e13d54f,e7a153fc8045d157,42,42
骨材,単粒度砕石,５号２０－１３ｍｍ,m3,奈良 竹筒,68,5700,6700,1000,17.54,0437ce6f6df5229c,a29ff2f6c68f0f4a,42,42
骨材,単粒度砕石,６号１３－５ｍｍ,m3,奈良 竹筒,68,5700,6700,1000,17.54,bb51424ba24ef454,85cf274071733c33,42,42
骨材,単粒度砕石,７号５－２．５ｍｍ,m3,奈良 竹筒,68,5700,6700,1000,17.54,a058e0f5bea8239f,7d7580d266480c61,42,42
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,和歌山 西牟婁郡他 / すさみ町,80,7700,8500,800,10.39,043f31b97a46b03f,0c08284b6331ba9d,44,44
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,和歌山 西牟婁郡他 / すさみ町,80,7700,8500,800,10.39,88833474d42d95fb,64b39930e7f86e70,44,44
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,和歌山 東牟婁郡 / 北山村,83,9700,11300,1600,16.49,d4f9755cd575e6a5,e7c3108131f23307,44,44
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,和歌山 東牟婁郡 / 北山村,83,9700,11300,1600,16.49,bf9c95fb52455010,dffcdac57d2d861b,44,44
骨材,コンクリート用骨材 砂,洗い 荒目,m3,和歌山 東牟婁郡 / 北山村,83,10000,11600,1600,16.0,8de718b77667b09d,80337cf7c2193acd,44,44
骨材,コンクリート用骨材 砂,洗い 細目,m3,和歌山 東牟婁郡 / 北山村,83,10000,,,,428ed805cafcf48e,582e7dc44466920a,44,44
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,和歌山 玉置口,84,9700,11300,1600,16.49,fc94bdece377239f,859a68909e757d37,44,44
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,和歌山 玉置口,84,9700,11300,1600,16.49,783de3856f881e70,ce00b28360a1ead4,44,44
骨材,コンクリート用骨材 砂,洗い 荒目,m3,和歌山 玉置口,84,10000,11600,1600,16.0,a77302ad4aebdec9,f09bf2a6d28a82a6,44,44
骨材,コンクリート用骨材 砂,洗い 細目,m3,和歌山 玉置口,84,10000,,,,9f9b78e854ac9126,f9897be7e2cfa542,44,44
骨材,コンクリート用骨材 砂,洗い 細目,m3,三重 太郎生,92,6200,,,,bcea20b4477a169d,ed4a319e7e3a0f81,44,44
骨材,コンクリート用骨材 砂利,２５ｍｍ（洗い）,m3,三重 紀宝町他,93,9700,11300,1600,16.49,b9487692471d88b9,2ab59e98d5d37197,44,44
骨材,コンクリート用骨材 砂利,４０ｍｍ（洗い）,m3,三重 紀宝町他,93,9700,11300,1600,16.49,34ddcf0812ac274d,5060ffbdddb7b184,44,44
骨材,コンクリート用骨材 砂,洗い 荒目,m3,三重 紀宝町他,93,10000,11600,1600,16.0,d09f8a88c8b14eeb,cc34ab29e2f9203a,44,44
骨材,コンクリート用骨材 砂,洗い 細目,m3,三重 紀宝町他,93,10000,,,,534603098d33edbc,bab3e8ce3e7eeb4a,44,44
骨材,クラッシャーラン,Ｃ－３０,m3,三重 紀宝町他,93,9300,10900,1600,17.2,a457016cb3c753a8,faf956b08425d6e8,44,44
骨材,クラッシャーラン,Ｃ－４０,m3,三重 紀宝町他,93,9300,10900,1600,17.2,c68f3690265a3572,7e20a1dae9ae2bf5,44,44
骨材,粒度調整砕石,Ｍ－３０,m3,三重 紀宝町他,93,9500,11100,1600,16.84,c452023e46604b55,17622e1d4c0efb31,44,44
