series_id,group,source_id,title,base_date,catalog_begin,catalog_end,range_from,expected_months,months_with_value,missing_months,missing_list,rows_outside_catalog_range,last_month_in_file,catalog_end_matches_last,preliminary_P,geo_level,geo_code
WPUIP230000,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2300001,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, goods",198606,1986-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23000012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23000013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2300002,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23000021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23000022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23000023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to construction industries, services less trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231000,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2310001,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, goods",198606,1986-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23100012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23100013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2310002,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23100021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23100022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23100023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new construction, services excluding trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231100,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new residential construction, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311001,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, goods",198606,1986-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23110012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23110013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311002,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23110021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23110022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23110023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to residential construction, services less trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231110,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, excl. capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311101,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, goods",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23111012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23111013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311102,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23111021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23111022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23111023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to single family residential construction, services less trade, transp., and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231120,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, excl. capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311201,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, goods",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23112012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23112013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311202,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23112021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23112022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23112023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to multifamily residential construction, services less trade, transp., and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231130,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311301,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, goods",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23113012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23113013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2311302,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23113021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23113022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23113023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to other residential construction, services less trade, transp., and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231200,inputs_to_construction,bls-ppi-wp-80i,"Inputs to new nonresidential construction, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312001,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, goods",201006,2010-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23120012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23120013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312002,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23120021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23120022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23120023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to nonresidential construction, services less trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231210,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, excl. capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312101,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, goods",201006,2010-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312102,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121021,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121022,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121023,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial and healthcare structures, services less trade, transp., and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231211,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312111,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, goods",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121112,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121113,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312112,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121121,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121122,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121123,inputs_to_construction,bls-ppi-wp-80i,"Inputs to commercial structures, services less trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231212,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312121,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, goods",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121212,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121213,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312122,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121221,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, trade services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121222,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, transportation and warehousing services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23121223,inputs_to_construction,bls-ppi-wp-80i,"Inputs to healthcare structures, services less trade, transportation, and warehousing",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP231220,inputs_to_construction,bls-ppi-wp-80i,"Inputs to industrial structures, excluding capital investment, labor, and imports",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312201,inputs_to_construction,bls-ppi-wp-80i,"Inputs to industrial structures, goods",201006,2010-06,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23122012,inputs_to_construction,bls-ppi-wp-80i,"Inputs to industrial structures, energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP23122013,inputs_to_construction,bls-ppi-wp-80i,"Inputs to industrial structures, goods less foods and energy",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
WPUIP2312202,inputs_to_construction,bls-ppi-wp-80i,"Inputs to industrial structures, services",201412,2014-12,2026-08,2016-01,128,128,0,,0,2026-M08,True,4,national,US
