check,occ_code,o_group,title,parent,sum_children,children_suppressed,msa_areas,ratio
msa_plus_bos_vs_national_2025,00-0000,total,,155495730,149931140,0,387,0.9642
msa_plus_bos_vs_national_2025,11-9021,detailed,Construction Managers,380360,353600,5,379,0.9296
msa_plus_bos_vs_national_2025,13-1051,detailed,Cost Estimators,224220,216710,4,378,0.9665
msa_plus_bos_vs_national_2025,17-1011,detailed,"Architects, Except Landscape and Naval",106770,99950,2,234,0.9361
msa_plus_bos_vs_national_2025,17-2051,detailed,Civil Engineers,367840,351310,2,370,0.9551
msa_plus_bos_vs_national_2025,17-3011,detailed,Architectural and Civil Drafters,103700,95320,1,288,0.9192
msa_plus_bos_vs_national_2025,17-3022,detailed,Civil Engineering Technologists and Technicians,68520,62840,1,259,0.9171
msa_plus_bos_vs_national_2025,47-0000,major,Construction and Extraction Occupations,6425160,6229350,0,387,0.9695
msa_plus_bos_vs_national_2025,47-1011,detailed,First-Line Supervisors of Construction Trades and Extraction Workers,812210,784940,1,387,0.9664
msa_plus_bos_vs_national_2025,47-2011,detailed,Boilermakers,10190,4110,7,27,0.4033
msa_plus_bos_vs_national_2025,47-2021,detailed,Brickmasons and Blockmasons,52550,44840,5,153,0.8533
msa_plus_bos_vs_national_2025,47-2022,detailed,Stonemasons,7820,3070,6,24,0.3926
msa_plus_bos_vs_national_2025,47-2031,detailed,Carpenters,670090,653890,0,384,0.9758
msa_plus_bos_vs_national_2025,47-2041,detailed,Carpet Installers,13780,5940,4,39,0.4311
msa_plus_bos_vs_national_2025,47-2042,detailed,"Floor Layers, Except Carpet, Wood, and Hard Tiles",23640,15460,6,76,0.6540
msa_plus_bos_vs_national_2025,47-2043,detailed,Floor Sanders and Finishers,3720,30,6,7,0.0081
msa_plus_bos_vs_national_2025,47-2044,detailed,Tile and Stone Setters,35850,28610,6,126,0.7980
msa_plus_bos_vs_national_2025,47-2051,detailed,Cement Masons and Concrete Finishers,206170,199540,2,334,0.9678
msa_plus_bos_vs_national_2025,47-2053,detailed,Terrazzo Workers and Finishers,1180,0,1,1,0.0000
msa_plus_bos_vs_national_2025,47-2061,detailed,Construction Laborers,1096780,1060380,1,386,0.9668
msa_plus_bos_vs_national_2025,47-2071,detailed,"Paving, Surfacing, and Tamping Equipment Operators",41820,33730,9,156,0.8066
msa_plus_bos_vs_national_2025,47-2072,detailed,Pile Driver Operators,2310,1180,0,15,0.5108
msa_plus_bos_vs_national_2025,47-2073,detailed,Operating Engineers and Other Construction Equipment Operators,478090,464860,1,387,0.9723
msa_plus_bos_vs_national_2025,47-2081,detailed,Drywall and Ceiling Tile Installers,83080,73670,1,168,0.8867
msa_plus_bos_vs_national_2025,47-2082,detailed,Tapers,12840,9580,1,37,0.7461
msa_plus_bos_vs_national_2025,47-2111,detailed,Electricians,757220,730010,0,386,0.9641
msa_plus_bos_vs_national_2025,47-2121,detailed,Glaziers,58480,46860,2,163,0.8013
msa_plus_bos_vs_national_2025,47-2131,detailed,"Insulation Workers, Floor, Ceiling, and Wall",44440,30480,8,111,0.6859
msa_plus_bos_vs_national_2025,47-2132,detailed,"Insulation Workers, Mechanical",25660,16450,4,79,0.6411
msa_plus_bos_vs_national_2025,47-2141,detailed,"Painters, Construction and Maintenance",225190,218560,3,357,0.9706
msa_plus_bos_vs_national_2025,47-2142,detailed,Paperhangers,1570,250,2,4,0.1592
msa_plus_bos_vs_national_2025,47-2151,detailed,Pipelayers,33050,25970,6,130,0.7858
msa_plus_bos_vs_national_2025,47-2152,detailed,"Plumbers, Pipefitters, and Steamfitters",465840,454790,1,384,0.9763
msa_plus_bos_vs_national_2025,47-2161,detailed,Plasterers and Stucco Masons,19310,15560,3,62,0.8058
