year,naics,level,area,parent_disclosure,children,children_N,parent_estabs,sum_estabs,parent_emplvl,sum_emplvl_disclosed,parent_total_wages,sum_total_wages_disclosed
2016,23,county_vs_state,01,,68,3,9394,9402,84105,83853,4250189880,4240030666
2016,23,county_vs_state,02,,30,10,2473,2475,16228,15557,1260328988,1194232787
2016,23,county_vs_state,04,,16,0,11088,11090,134049,134049,6806782977,6806782977
2016,23,county_vs_state,05,,76,10,6700,6710,50284,49173,2301175423,2259792321
2016,23,county_vs_state,06,,59,0,70000,70007,769670,769676,49622529524,49622529524
2016,23,county_vs_state,08,,65,8,18440,18446,155148,155001,8896845188,8891075078
2016,23,county_vs_state,09,,9,2,9347,9348,59102,56061,3933369057,3730814020
2016,23,county_vs_state,10,,4,0,2822,2823,20956,20956,1188290412,1188290412
2016,23,county_vs_state,11,,1,0,1003,1003,15270,15270,977470646,977470646
2016,23,county_vs_state,12,,68,2,64576,64583,474134,463961,22446456431,21762730794
2016,23,county_vs_state,13,,159,23,23041,23058,175684,173676,9803667952,9718299120
2016,23,county_vs_state,15,,5,0,3598,3598,37623,37623,2729376827,2729376827
2016,23,county_vs_state,16,,45,4,7227,7231,39458,38745,1641997331,1605593601
2016,23,county_vs_state,17,,103,4,36492,36508,218155,217853,15099222391,15082594121
2016,23,county_vs_state,18,,93,0,14568,14584,131686,131687,7219923418,7219923418
2016,23,county_vs_state,19,,99,4,9461,9475,80802,80490,4691800665,4675495996
2016,23,county_vs_state,20,,105,18,7770,7779,61310,60725,3163742143,3137407596
2016,23,county_vs_state,21,,121,27,9584,9599,76782,73362,3972955365,3818007357
2016,23,county_vs_state,22,,65,5,10563,10571,139830,139268,8338397545,8317466652
2016,23,county_vs_state,23,,17,0,5461,5463,27364,27363,1272946144,1272946144
2016,23,county_vs_state,24,,25,0,16363,16366,161014,161015,10062146842,10062146842
2016,23,county_vs_state,25,,15,0,20256,20257,146503,146504,10646425987,10646425987
2016,23,county_vs_state,26,,84,2,19319,19333,154728,150028,9141045142,8799542415
2016,23,county_vs_state,27,,88,2,15254,15265,116017,110365,7339670362,6963196404
2016,23,county_vs_state,28,,83,5,5812,5822,44433,44237,2118551033,2110639359
2016,23,county_vs_state,29,,116,12,14618,14633,120566,113513,6754738506,6277899395
2016,23,county_vs_state,30,,57,17,5834,5845,27029,26207,1315450442,1271884771
2016,23,county_vs_state,31,,91,20,6979,6988,50545,49888,2442533591,2417457979
2016,23,county_vs_state,32,,18,6,6112,6113,75731,75621,4189053480,4184065645
2016,23,county_vs_state,33,,11,0,4269,4269,25462,25462,1499019220,1499019220
2016,23,county_vs_state,34,,22,2,21936,21938,152420,145110,10476593214,9882032126
2016,23,county_vs_state,35,,34,5,5207,5210,43256,43123,1919489278,1915702464
2016,23,county_vs_state,36,,63,0,48177,48188,374282,374283,26291032256,26291032256
2016,23,county_vs_state,37,,101,4,25393,25409,200569,200043,10043210627,10025108006
2016,23,county_vs_state,38,,54,13,4205,4212,31069,29958,1997247884,1931919519
2016,23,county_vs_state,39,,89,0,22785,22799,205878,205882,11741096946,11741096946
2016,23,county_vs_state,40,,78,7,9710,9718,77373,76933,3840431876,3820549315
2016,23,county_vs_state,41,,37,4,12553,12554,89453,89271,4997774479,4988276578
2016,23,county_vs_state,42,,68,2,28341,28352,239006,226126,14721661409,13713875704
2016,23,county_vs_state,44,,6,2,3600,3601,18125,16709,1056782325,978090617
2016,23,county_vs_state,45,,47,2,11134,11139,94513,93643,4741592395,4698225562
2016,23,county_vs_state,46,,66,10,3848,3857,22799,22650,1087013547,1081883910
2016,23,county_vs_state,47,,96,9,11339,11351,114947,113134,6261754869,6182076772
2016,23,county_vs_state,48,,253,46,47424,47449,700273,697236,43213992611,43057847877
2016,23,county_vs_state,49,,29,3,10446,10449,91537,91388,4346551334,4342290545
2016,23,county_vs_state,50,,15,0,2812,2815,15276,15276,742605275,742605275
2016,23,county_vs_state,51,,134,16,21287,21305,187413,176298,9995127139,9446622660
2016,23,county_vs_state,53,,40,2,24366,24371,174885,173999,10282279623,10224686302
2016,23,county_vs_state,54,,56,8,4426,4430,30019,28233,1579287875,1484659760
2016,23,county_vs_state,55,,72,0,13731,13737,112279,112278,6598063612,6598063612
2016,23,county_vs_state,56,,24,2,3459,3462,21104,20265,1062848633,1014515892
2016,23,county_vs_state,72,,79,14,1772,1780,22771,22265,510500222,502407605
2016,23,county_vs_state,78,,3,0,293,293,1414,1414,58710745,58710745
2016,23,states51_vs_national,US,,51,0,774594,774603,6686142,6686144,392122540119,392122540119
2016,236,county_vs_state,01,,67,21,2564,2570,18984,17606,1074843084,1001257414
2016,236,county_vs_state,02,,28,11,774,775,4336,4183,303830053,295341241
2016,236,county_vs_state,04,,16,4,2936,2937,26027,25838,1604870772,1597944684
2016,236,county_vs_state,05,,71,30,1692,1695,10372,9807,528779929,504905286
2016,236,county_vs_state,06,,59,6,23221,23228,174728,174329,12208920324,12190287605
2016,236,county_vs_state,08,,65,20,4960,4964,30036,29378,2004363943,1959690914
2016,236,county_vs_state,09,,9,0,2447,2448,11143,11143,787850774,787850774
2016,236,county_vs_state,10,,4,0,872,873,4876,4876,293331072,293331072
2016,236,county_vs_state,11,,1,0,402,402,3947,3947,304287547,304287547
2016,236,county_vs_state,12,,68,10,16774,16782,95503,92712,5648553550,5455229901
2016,236,county_vs_state,13,,151,68,7065,7078,38030,36158,2569929218,2489528848
2016,236,county_vs_state,15,,5,2,1191,1192,11393,10693,850473169,804141096
2016,236,county_vs_state,16,,44,12,2087,2091,9197,8928,392444542,383196165
2016,236,county_vs_state,17,,103,38,12207,12215,43894,42324,2867326140,2801202350
2016,236,county_vs_state,18,,93,29,4252,4258,31268,29729,1724446096,1668291987
2016,236,county_vs_state,19,,99,22,2739,2746,17092,16530,951344562,931081617
2016,236,county_vs_state,20,,100,56,2107,2114,12502,11051,664655036,604042800
2016,236,county_vs_state,21,,119,54,2505,2518,16090,14705,858632266,795328239
2016,236,county_vs_state,22,,64,16,2888,2896,28149,22615,1743634459,1297585320
2016,236,county_vs_state,23,,17,3,1718,1720,6530,5887,291387471,265390710
2016,236,county_vs_state,24,,25,4,5614,5617,36835,35887,2495143879,2444719894
2016,236,county_vs_state,25,,15,2,5500,5502,31284,30620,2483657045,2445292217
2016,236,county_vs_state,26,,84,14,6394,6405,36362,35372,2047292274,2011738161
2016,236,county_vs_state,27,,88,19,4197,4207,25483,23265,1658058753,1525010903
2016,236,county_vs_state,28,,78,31,1474,1481,8936,7496,459954104,373192092
2016,236,county_vs_state,29,,114,39,4452,4459,26989,25826,1538985491,1497286510
2016,236,county_vs_state,30,,53,19,1907,1915,6927,6656,315625193,305123912
2016,236,county_vs_state,31,,80,29,1782,1792,10111,9665,511567234,494314704
