endpoint	state	outcome	tool_count	server_name	compensation_fields	record_sha256
https://gpt55.558686.xyz/mcp	measured	speaks_mcp_and_lists_tools	218	gpt55-x402-gateway	payment,payments	d3d2276773b01b0c29cbfe621cd672b583ccaacaff07774ea7e4f00b2139e372
https://live-vps.sasame.online/public-mcp	measured	speaks_mcp_and_lists_tools	94	sasame-mcp-factory	payment	5b5dbc3aa3b57e4fadb8ba7117ab20006dc97190d6f8ebd04029a742a4f909ae
https://weverlabs.com/api/mcp	measured	speaks_mcp_and_lists_tools	89	wever-labs-service-resolver	payment	2e6a7b0b6cacb90944a465a1e73349417c07b281a6496e8fe37cfb3b6af2ba56
https://aicomglobal.com/mcp	measured	speaks_mcp_and_lists_tools	55	aicomglobal	pricing	7072ef4cf9ac899910687c1adaa39be7c3522b7302874f3f10a2b0223da6019d
https://api.oblique.markets/mcp	measured	speaks_mcp_and_lists_tools	54	oblique-markets	payment	6e8ef65c9816f92c78267d130058cf338c2c8dc62015646524f411917ab3b075
https://x402-endpoints.onrender.com/mcp/	measured	speaks_mcp_and_lists_tools	52	x402-endpoints	payments	955ba8e3718004c6d53439da9c8a2aece59ced76a5e3b06fa3a52a0f689a112e
https://tooloracle.io/ampel/mcp/	measured	speaks_mcp_and_lists_tools	50	AmpelOracle	payment	5d779af9d41f1adba8d04b539ebeb655b99a481b04271108f61e0975ae42c185
https://fingersai.co/mcp	measured	speaks_mcp_and_lists_tools	48	fingers	payments	52ced4bf93282fc893fd82476df569264b9f166083a2132a2008e1225172e077
https://x711.io/mcp	measured	speaks_mcp_and_lists_tools	47	x711	payment	8230be07012b29ffd3c3ed01b4d6d9978dcf1f1a41345f37c78f28d1a0cb2fdd
https://realrealgenuine.com/mcp	measured	speaks_mcp_and_lists_tools	44	RRG, Real Real Genuine	extensions:https://googleapis.github.io/a2a/extensions/payments/ap2/v1	cc37bceb8c21d9d46410c04471a389cc12cab89e864eee58ae0857788575dcf5
https://satoshidata.ai/mcp/	measured	speaks_mcp_and_lists_tools	44	satoshidata.ai Agent API MCP	pricing	f86b177f74a8f6859b3927f98d1c01a7626a6e3359040829e9ee5cbdec54ca5f
https://satoshidata.ai/mcp/v1/	measured	speaks_mcp_and_lists_tools	44	satoshidata.ai Agent API MCP	pricing	020a920b676de9869a2d078c18a79b504ea29ea78fbd322f2df6f31ce544f2a6
https://agentservices.to/mcp	measured	speaks_mcp_and_lists_tools	43	AgentServices	capabilities.payment	ce6be050335d07116c6e68e7cf4211636cf7c490ad78bf202c26cf017b50e5c2
https://tooloracle.io/macro/mcp/	measured	speaks_mcp_and_lists_tools	33	MacroOracle	payment	ea95b8d2f19b3ca893fe31f56488c49083658d3025732e426ae0b4849c9123c6
https://api.babyblueviper.com/mcp	measured	speaks_mcp_and_lists_tools	32	invinoveritas	pricing	c0cbbc2ddfc23df7475ee4f8b725708148ecb7cb4f242f3c58b45cda28b28a2f
https://energy.netzhandwerker.de/mcp	measured	speaks_mcp_and_lists_tools	31	Netzhandwerker Energy Research Hub	payment	a35c34f1a629fbebc9016ab25af22ed7c5a8f2b6249cc2854772d81b1568a311
https://coil.trade/mcp	measured	speaks_mcp_and_lists_tools	29	coil-scanner	payment	a40e76a7c448eb0a0f3e586b26feb77935bd5444ed444bc5b9c9331e46972352
